%OpenBCI Raw EEG Data
%
%Sample Rate = 250.0 Hz
%First Column = Time (ms)
%Other Columns = EEG data in microvolts followed by Accel Data (in G) interleaved with Aux Data
160.0, -1466.99, -25296.68, -32299.50, -1924.84, -18380.31, -6105.02, -20011.22, -6746.11, 0.00, 0.00, 0.00
164.0, -1478.03, -25299.76, -32300.04, -1944.74, -18388.60, -6106.14, -20036.93, -6752.75, 0.00, 0.00, 0.00
168.0, -1467.17, -25284.27, -32281.42, -1963.67, -18387.26, -6094.56, -20106.11, -6756.78, 0.00, 0.00, 0.00
172.0, -1439.77, -25270.63, -32271.94, -1936.87, -18371.19, -6082.11, -20079.51, -6746.36, 0.00, 0.00, 0.00
176.0, -1445.20, -25274.99, -32279.14, -1907.30, -18364.10, -6084.64, -20012.75, -6740.08, 0.00, 0.00, 0.00
180.0, -1461.00, -25277.59, -32277.15, -1916.13, -18368.62, -6087.07, -20012.19, -6746.02, 0.00, 0.00, 0.00
184.0, -1466.03, -25275.08, -32266.57, -1955.49, -18375.46, -6078.09, -20083.04, -6752.77, 0.00, 0.00, 0.00
188.0, -1449.91, -25267.98, -32260.81, -1943.64, -18375.28, -6070.38, -20085.43, -6749.40, 0.00, 0.00, 0.00
192.0, -1448.01, -25275.22, -32274.78, -1918.52, -18378.47, -6079.47, -20023.65, -6747.81, 0.00, 0.00, 0.00
196.0, -1469.18, -25287.02, -32290.27, -1929.47, -18386.48, -6090.81, -20015.83, -6756.53, 0.00, 0.00, 0.00
200.0, -1469.31, -25278.91, -32278.98, -1955.08, -18387.01, -6081.33, -20074.44, -6761.16, 0.00, 0.00, 0.00
204.0, -1456.19, -25269.81, -32272.95, -1946.64, -18378.50, -6073.44, -20085.61, -6754.94, 0.00, 0.00, 0.00
208.0, -1455.59, -25280.36, -32288.64, -1924.57, -18375.39, -6084.17, -20017.30, -6747.14, 0.00, 0.00, 0.00
212.0, -1467.32, -25297.66, -32304.80, -1931.88, -18385.25, -6099.61, -19995.00, -6758.70, 0.00, 0.00, 0.00
216.0, -1469.29, -25292.23, -32296.62, -1955.42, -18387.86, -6096.37, -20046.18, -6764.62, 0.00, 0.00, 0.00
220.0, -1447.03, -25272.94, -32279.18, -1953.52, -18376.13, -6080.26, -20068.63, -6754.23, 0.00, 0.00, 0.00
224.0, -1440.32, -25277.07, -32287.70, -1923.37, -18368.53, -6080.17, -20005.84, -6745.38, 0.00, 0.00, 0.00
228.0, -1458.52, -25293.75, -32307.14, -1925.51, -18381.49, -6099.17, -19977.36, -6757.40, 0.00, 0.00, 0.00
232.0, -1471.66, -25296.88, -32306.34, -1957.86, -18392.00, -6103.97, -20034.34, -6769.76, 0.00, 0.00, 0.00
236.0, -1464.55, -25287.94, -32294.16, -1972.14, -18390.23, -6091.92, -20080.27, -6770.46, 0.00, 0.00, 0.00
